# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
7464.49787	3.94208E-17
7466.363499	4.111786E-17
7468.229128	3.630845E-17
7470.094757	4.085549E-17
7471.960386	4.043034E-17
7473.826015	4.04231E-17
7475.691644	3.976205E-17
7477.557273	4.12893E-17
7479.422902	4.425795E-17
7481.288531	4.374477E-17
7483.15416	4.35591E-17
7485.019789	4.18522E-17
7486.885418	4.127643E-17
7488.751047	4.118777E-17
7490.616676	4.04575E-17
7492.482305	4.31047E-17
7494.347934	4.404843E-17
7496.213563	4.555315E-17
7498.079191	4.470827E-17
7499.94482	4.559119E-17
7501.810449	4.505935E-17
7503.676078	4.630982E-17
7505.541707	4.73215E-17
7507.407336	4.686079E-17
7509.272965	4.558581E-17
7511.138594	4.280567E-17
7513.004223	4.372303E-17
7514.869852	4.60063E-17
7516.735481	4.754815E-17
7518.60111	4.780326E-17
7520.466739	4.467456E-17
7522.332368	4.458844E-17
7524.197997	4.571109E-17
7526.063626	4.647793E-17
7527.929255	4.769489E-17
7529.794884	4.823874E-17
7531.660513	5.186096E-17
7533.526142	5.242218E-17
7535.391771	4.965842E-17
7537.2574	5.184989E-17
7539.123029	5.283819E-17
7540.988658	5.232872E-17
7542.854287	5.169858E-17
7544.719916	5.040192E-17
7546.585545	5.229228E-17
7548.451174	5.494111E-17
7550.316803	5.512257E-17
7552.182432	5.335363E-17
7554.048061	5.159915E-17
7555.913689	5.163575E-17
7557.779318	5.08685E-17
7559.644947	5.268592E-17
7561.510576	5.199925E-17
7563.376205	4.9281E-17
7565.241834	5.058934E-17
7567.107463	5.267471E-17
7568.973092	5.402021E-17
7570.838721	5.428879E-17
7572.70435	5.296472E-17
7574.569979	5.296277E-17
7576.435608	5.593882E-17
7578.301237	5.618575E-17
7580.166866	5.199559E-17
7582.032495	4.172522E-17
7583.898124	3.444291E-17
7585.763753	2.872621E-17
7587.629382	2.208319E-17
7589.495011	1.883433E-17
7591.36064	1.96984E-17
7593.226269	1.895327E-17
7595.091898	1.710916E-17
7596.957527	1.302144E-17
7598.823156	1.139484E-17
7600.688785	1.40269E-17
7602.554414	1.522049E-17
7604.420043	1.743E-17
7606.285672	1.986199E-17
7608.151301	2.523138E-17
7610.01693	3.038069E-17
7611.882559	3.446252E-17
7613.748187	3.291508E-17
7615.613816	3.217402E-17
7617.479445	2.815251E-17
7619.345074	2.343934E-17
7621.210703	1.961382E-17
7623.076332	1.806735E-17
7624.941961	1.738488E-17
7626.80759	1.667165E-17
7628.673219	1.81144E-17
7630.538848	1.637912E-17
7632.404477	1.747608E-17
7634.270106	2.16676E-17
7636.135735	2.127229E-17
7638.001364	2.161202E-17
7639.866993	2.171969E-17
7641.732622	2.188685E-17
7643.598251	2.524041E-17
7645.46388	2.554321E-17
7647.329509	2.640799E-17
7649.195138	2.559456E-17
7651.060767	2.568875E-17
7652.926396	2.621244E-17
7654.792025	2.169341E-17
7656.657654	1.531567E-17
